label,gate_chars,frontend_scorable_chars
L0115/full_text_annotate.mr3he.yml,1058,1133
L0115/key_reading.634yc.yml,278,305
L0116/full_text_annotate.dcjhu.yml,1049,1066
L0116/key_reading.3uy4q.yml,390,395
L0117/full_text_annotate.ueunt.yml,1084,1096
L0117/key_reading.thc6j.yml,270,275
L0118/full_text_annotate.puwmm.yml,1006,1006
L0118/key_reading.k6d9j.yml,317,317
L0119/full_text_annotate.d4jfj.yml,836,836
L0119/key_reading.4khjh.yml,374,374
L0120/full_text_annotate.7c3ah.yml,1126,1130
L0120/key_reading.rqjxq.yml,360,362
L0121/full_text_annotate.a6hyh.yml,1133,1162
L0121/key_reading.tt49h.yml,307,307
L0122/full_text_annotate.4q3rm.yml,1044,1096
L0122/key_reading.xv9ny.yml,316,325
L0123/full_text_annotate.yvden.yml,1267,1287
L0123/key_reading.9wmep.yml,322,325
L0124/full_text_annotate.u7rhq.yml,970,1015
L0124/key_reading.upmvk.yml,301,321
L0125/full_text_annotate.4etxq.yml,1157,1162
L0125/key_reading.rxqnp.yml,364,364
L0126/full_text_annotate.hxeve.yml,1297,1304
L0126/key_reading.jwycp.yml,306,306
L0127/full_text_annotate.xead6.yml,1297,1311
L0127/key_reading.7k3hv.yml,285,285
L0128/full_text_annotate.m6nw9.yml,1217,1241
L0128/key_reading.ck7p9.yml,282,282
L0129/full_text_annotate.uc6qm.yml,1014,1028
L0129/key_reading.knxr3.yml,560,566
L0130/full_text_annotate.9n3wf.yml,734,746
L0131/full_text_annotate.9kedu.yml,975,986
L0131/key_reading.uk6wd.yml,350,350
L0132/full_text_annotate.ue3q9.yml,1343,1449
L0132/key_reading.dku67.yml,312,314
L0133/full_text_annotate.99uef.yml,620,627
L0134/full_text_annotate.76aw6.yml,776,852
L0135/full_text_annotate.k3kau.yml,670,670
L0137/full_text_annotate.ppwdu.yml,556,599
L0137/full_text_annotate.ut67x.yml,653,684
L0138/full_text_annotate.v77k6.yml,1088,1103
L0138/key_reading.c3rt9.yml,348,348
L0139/full_text_annotate.4dcq9.yml,1144,1190
L0139/key_reading.cffhh.yml,338,354
L0140/full_text_annotate.43ftn.yml,1158,1158
L0140/key_reading.tfepx.yml,367,367
L0141/full_text_annotate.q4jk9.yml,1090,1155
L0141/key_reading.nywp7.yml,265,292
L0142/full_text_annotate.v7krr.yml,1431,1442
L0142/key_reading.6amwa.yml,263,263
L0143/full_text_annotate.6mpre.yml,862,908
L0143/key_reading.96jnp.yml,252,262
L0144/full_text_annotate.4ymn7.yml,477,493
L0144/full_text_annotate.dvxj6.yml,1172,1262
L0144/full_text_annotate.wdnd7.yml,932,1015
L0145/full_text_annotate.uy3fm.yml,1122,1132
L0145/key_reading.x96ca.yml,341,346
L0146/full_text_annotate.9h66d.yml,920,926
L0146/key_reading.v4fqq.yml,415,419
L0147/full_text_annotate.ptm4r.yml,1110,1115
L0147/key_reading.tnt4y.yml,389,389
L0148/full_text_annotate.nnmyv.yml,1136,1176
L0148/key_reading.puq6q.yml,347,354
L0149/full_text_annotate.c9fmq.yml,1027,1083
L0149/key_reading.ufavh.yml,338,346
L0150/full_text_annotate.wppq9.yml,840,960
L0151/full_text_annotate.n3hxj.yml,1145,1188
L0151/key_reading.qvryf.yml,303,309
L0152/full_text_annotate.6e7r9.yml,1266,1287
L0152/key_reading.e9kvt.yml,304,315
L0156/full_text_annotate.4vamf.yml,661,661
L0156/key_reading.n9a7a.yml,349,349
L0157/full_text_annotate.nvrme.yml,591,605
L0165/full_text_annotate.p9d6j.yml,1136,1136
L0165/key_reading.cuq4n.yml,357,357
L0166/full_text_annotate.pvqer.yml,1049,1062
L0166/key_reading.p7nhm.yml,358,362
L0167/full_text_annotate.9jcxw.yml,768,768
L0167/key_reading.dkhf7.yml,295,295
L0168/full_text_annotate.pmxkq.yml,855,855
L0168/key_reading.6d67k.yml,248,248
L0169/full_text_annotate.9ja7n.yml,887,891
L0169/key_reading.wyvrp.yml,301,305
L0170/full_text_annotate.3vey6.yml,942,942
L0170/key_reading.pexde.yml,471,471
L0171/full_text_annotate.envdq.yml,1013,1013
L0171/key_reading.p7jef.yml,317,317
L0172/full_text_annotate.ampvv.yml,1002,1002
L0172/key_reading.pfqpp.yml,354,354
L0173/full_text_annotate.wwejy.yml,976,976
L0173/key_reading.nva4u.yml,385,385
L0174/full_text_annotate.vw6jj.yml,967,982
L0174/key_reading.uvmjm.yml,376,391
L0175/full_text_annotate.66nax.yml,1110,1110
L0175/key_reading.wrh93.yml,280,280
L0176/full_text_annotate.9qjnx.yml,1115,1115
L0176/key_reading.ww3ve.yml,281,281
L0177/full_text_annotate.np49y.yml,1036,1044
L0177/key_reading.qj9j4.yml,409,409
L0178/full_text_annotate.h4jud.yml,976,976
L0178/key_reading.cqhpp.yml,323,323
L0179/full_text_annotate.apkxt.yml,1059,1068
L0179/key_reading.dxxwe.yml,339,339
